rating,review_count,isbn,booktype,author,year,genres,dir,rating_count,name
4.1,4474,0345350499,good_reads:book,Marion Zimmer Bradley,1983,fantasy|fiction|historical-fiction|mythology|arthurian|science-fiction-fantasy|fantasy|mythology|classics|romance|fantasy|magic|adult,dir02/402045.The_Mists_of_Avalon.html,4474,"The Mists of Avalon (Avalon, #1)"
4.35,3234,0345453743,good_reads:book,Douglas Adams,1996,science-fiction|fiction|humor|fantasy|classics|humor|comedy|science-fiction-fantasy|humor|funny|adventure|novels,dir02/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy.html,3234,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5)
4.19,3927,000100039X,good_reads:book,Khalil Gibran,1923,classics|spirituality|religion|literature|self-help|novels|literature|20th-century|adult|writing|essays|religion|islam,dir02/2547.The_Prophet.html,3927,The Prophet
4.03,3473,,good_reads:book,Alexandre Dumas,1843,classics|fiction|historical-fiction|adventure|literature|cultural|france|european-literature|french-literature|classics|classic-literature|novels|romance,dir02/7190.The_Three_Musketeers.html,3473,The Three Musketeers
4.19,29449,0142402516,good_reads:book,John Green,2005,young-adult|fiction|contemporary|romance|realistic-fiction|young-adult|teen,dir02/99561.Looking_for_Alaska.html,29449,Looking for Alaska
4.09,6213,0451169514,good_reads:book,Stephen King,1986,horror|fiction|thriller|fantasy|fantasy|paranormal|fantasy|supernatural|mystery|suspense|adult|novels,dir02/18342.It.html,6213,It
3.86,4976,0143038095,good_reads:book,Amy Tan,1989,fiction|historical-fiction|classics|cultural|china|contemporary|adult-fiction|literature|womens-fiction|chick-lit|novels|adult,dir02/7763.The_Joy_Luck_Club.html,4976,The Joy Luck Club
4.47,11678,0739380338,good_reads:book,Rick Riordan,2009,fantasy|young-adult|fantasy|mythology|fiction|adventure|childrens|mythology|greek-mythology,dir02/4502507-the-last-olympian.html,11678,"The Last Olympian (Percy Jackson and the Olympians, #5)"
3.93,3421,0743477545,good_reads:book,William Shakespeare,1595,plays|drama|classics|fantasy|academic|school|romance|literature|plays|theatre|poetry|academic|read-for-school,dir02/1622.A_Midsummer_Night_s_Dream.html,3421,A Midsummer Night's Dream
4.55,15777,075640407X,good_reads:book,Patrick Rothfuss,2007,fantasy|fiction,dir02/186074.The_Name_of_the_Wind.html,15777,"The Name of the Wind (The Kingkiller Chronicle, #1)"
4.17,43787,0007442912,good_reads:book,Veronica Roth,2012,science-fiction|dystopia|young-adult|science-fiction|romance|young-adult|teen|adventure|apocalyptic|post-apocalyptic|action|science-fiction-fantasy|fantasy,dir02/11735983-insurgent.html,43787,"Insurgent (Divergent, #2)"
3.38,6393,1892295490,good_reads:book,Joseph Conrad,1899,classics|fiction|literature|cultural|africa|academic|school|historical-fiction|novels|young-adult|high-school|academic|read-for-school|adventure,dir02/4900.Heart_of_Darkness.html,6393,Heart of Darkness
